,topDistance,bottomDistance,birdPosition,jump
1336,42.71123973850443,135.92001324308353,301.5,0
1337,55.76064920712455,122.30801282009286,317.5,0
1338,70.40063920164361,109.57303500405563,333.5,0
1339,68.24954212300622,119.40686747419514,325.0,1
1340,65.76473218982953,132.38202294873727,313.0,0
1341,65.66010965571105,145.81237944701402,300.5,0
1342,68.52919086053767,156.9912417939294,290.5,0
1343,73.10950690573696,163.23296235748464,286.0,0
1344,338.1124073440666,342.9577233421052,292.0,0
1345,336.64372859151854,334.4084329080234,308.0,0
1346,336.00595232822883,326.49655434629017,324.0,0
1347,336.2038072360276,319.2694786540048,340.0,0
1348,328.7191050121669,315.44611267219636,331.5,1
1349,320.34551659107075,312.52399907847075,319.5,0
1350,312.1618170116262,310.2337828154761,307.0,0
1351,304.9098227345259,307.8473647767673,297.0,0
1352,299.03887707119287,304.26016827708486,292.5,0
1353,295.53214715154087,297.80740420614126,298.5,0
1354,294.96821862702427,289.0609797257319,314.5,0
1355,295.3561409552881,281.0431461537534,330.5,0
1356,296.6921805508194,273.81791395012857,346.5,0
1357,288.77153599342165,269.97962886114203,338.0,1
1358,279.7284397411175,267.1104640406287,326.0,0
1359,270.84912774458036,264.9702813524566,313.5,0
1360,263.06700667320484,262.78175355225864,303.5,0
1361,257.00194551792794,259.3260495977988,299.0,0
1362,253.95472037353431,252.77064703006954,305.0,0
1363,254.5937941113255,243.7580767892625,321.0,0
1364,256.3298656028985,235.5949914577982,337.0,0
1365,259.1408883213917,228.37250272307304,353.0,0
1366,250.71148757087298,224.51336263126967,344.5,1
1367,240.85109507743576,221.71885350596597,332.5,0
1368,231.10170921046864,219.79080963497995,320.0,0
1369,222.64994947226015,217.88299612406655,310.0,0
1370,216.35676555171554,214.61651846957167,305.5,0
1371,213.96553460779612,207.92125913431747,311.5,0
1372,216.250433525577,198.5302243992083,327.5,0
1373,207.9663434308542,196.08671551127577,319.0,1
1374,198.40614909825754,195.35864454894235,307.0,0
1375,189.08000951977974,195.70705148256667,294.5,0
1376,181.04212217050485,195.77091203751388,284.5,0
1377,174.9085475327035,193.63109254456012,280.0,0
1378,172.06975329789952,186.30083198955393,286.0,0
1379,173.5655495770978,174.42763542512407,302.0,0
1380,176.64653973401235,163.41358572652396,318.0,0
1381,168.08108162431606,162.17660127157677,309.5,1
1382,158.0956988662247,163.2306650112043,297.5,0
1383,148.38463532320318,165.58381563425817,285.0,0
1384,140.11780757633915,167.4305826305338,275.0,0
1385,133.9225522456916,166.38885179001628,270.5,0
1386,131.28689957493856,158.70176432541638,276.5,0
1387,123.64869590901475,160.58953888718904,268.0,1
1388,115.44695751729449,165.61400906928134,256.0,0
1389,108.11683495182422,171.86986355961304,243.5,0
1390,102.14817668465747,176.8735423968209,233.5,0
1391,97.0051545022222,177.79201331893398,229.0,0
1392,92.26592003551474,170.03823099526764,235.0,0
1393,89.98888820293314,153.9415473483361,251.0,0
1394,90.80198235721508,138.00362314084367,267.0,0
1395,94.62557793746889,122.28654872879518,283.0,0
1396,85.71026776296992,126.0803315350971,274.5,1
1397,75.36079882803791,133.52621465465126,262.5,0
1398,65.7875368135941,142.22517358048822,250.0,0
1399,58.249463516842795,149.30840565755165,240.0,0
1400,52.53808142671371,151.6912983661225,235.5,0
1401,48.9004089962446,144.36498883039474,241.5,0
1402,51.32494520211395,127.60975668027896,257.5,0
1403,58.645119148996535,110.8568897272515,273.5,0
1404,48.91829923454004,117.44360348695028,265.0,1
1405,36.796738985948195,127.88275880665071,253.0,0
1406,25.30316185775999,139.2488779128938,240.5,0
1407,17.18284027743958,148.4764291057675,230.5,0
